Date,Price,Return
04/01/16,53000,0
05/01/16,53500,0.00938974
06/01/16,53500,0
07/01/16,53000,-0.00938974
08/01/16,52500,-0.009478744
11/01/16,53000,0.009478744
12/01/16,53000,0
13/01/16,53000,0
14/01/16,53000,0
15/01/16,53000,0
18/01/16,53000,0
19/01/16,54000,0.018692133
21/01/16,54000,0
22/01/16,52500,-0.028170877
25/01/16,53500,0.018868484
26/01/16,53500,0
27/01/16,54500,0.018519048
28/01/16,55000,0.009132484
29/01/16,58000,0.053109825
01/02/16,57000,-0.017391743
02/02/16,57000,0
03/02/16,56500,-0.00881063
04/02/16,59000,0.043296806
05/02/16,59000,0
15/02/16,60000,0.016807118
16/02/16,61000,0.016529302
17/02/16,64000,0.048009219
18/02/16,65500,0.023167059
19/02/16,69000,0.052056362
22/02/16,69000,0
23/02/16,68000,-0.014598799
24/02/16,70000,0.028987537
25/02/16,67500,-0.036367644
26/02/16,68500,0.014706147
29/02/16,67000,-0.022141126
01/03/16,67500,0.007434978
02/03/16,71500,0.057569852
03/03/16,69500,-0.028370697
04/03/16,68500,-0.014493007
07/03/16,69000,0.007272759
08/03/16,69500,0.007220248
09/03/16,70000,0.007168489
10/03/16,70000,0
11/03/16,70000,0
14/03/16,72500,0.03509132
15/03/16,72000,-0.006920443
16/03/16,72000,0
17/03/16,74000,0.027398974
18/03/16,75000,0.01342302
21/03/16,75000,0
22/03/16,75000,0
23/03/16,76000,0.013245227
24/03/16,76500,0.006557401
25/03/16,76000,-0.006557401
28/03/16,77000,0.013072082
29/03/16,76500,-0.006514681
30/03/16,76500,0
31/03/16,74500,-0.026491615
01/04/16,75500,0.013333531
04/04/16,74500,-0.013333531
05/04/16,73500,-0.013513719
06/04/16,75000,0.020202707
07/04/16,77000,0.026317308
08/04/16,80000,0.038221213
11/04/16,80500,0.00623055
12/04/16,80500,0
13/04/16,79500,-0.012500163
14/04/16,78500,-0.012658397
15/04/16,79000,0.006349228
19/04/16,79000,0
20/04/16,80000,0.012578782
21/04/16,79500,-0.006269613
22/04/16,78500,-0.012658397
25/04/16,78000,-0.006389798
26/04/16,75500,-0.03257617
27/04/16,75500,0
28/04/16,73000,-0.033673215
29/04/16,74000,0.013605652
04/05/16,75000,0.01342302
05/05/16,73500,-0.020202707
06/05/16,73500,0
09/05/16,74500,0.013513719
10/05/16,73500,-0.013513719
12/05/16,72000,-0.020619287
13/05/16,71000,-0.013986242
16/05/16,68000,-0.043172172
17/05/16,70000,0.028987537
18/05/16,69000,-0.014388737
19/05/16,69000,0
20/05/16,71000,0.028573372
23/05/16,71000,0
24/05/16,71000,0
25/05/16,70500,-0.007067167
26/05/16,70000,-0.007117468
27/05/16,71000,0.014184635
30/05/16,70500,-0.007067167
31/05/16,70500,0
01/06/16,70500,0
02/06/16,72500,0.027973852
03/06/16,71000,-0.020906685
06/06/16,71000,0
07/06/16,74000,0.041385216
08/06/16,74500,0.006734032
09/06/16,74000,-0.006734032
10/06/16,73000,-0.013605652
13/06/16,74000,0.013605652
14/06/16,73000,-0.013605652
15/06/16,73000,0
16/06/16,74500,0.020339684
17/06/16,78500,0.052299499
20/06/16,78500,0
21/06/16,79000,0.006349228
22/06/16,79500,0.006309169
23/06/16,80500,0.012500163
24/06/16,80000,-0.00623055
27/06/16,79500,-0.006269613
28/06/16,79500,0
29/06/16,85000,0.066894235
30/06/16,86500,0.017493157
01/07/16,89000,0.028491956
04/07/16,91500,0.027702603
05/07/16,87500,-0.044700179
06/07/16,90500,0.033711057
07/07/16,90000,-0.00554018
08/07/16,86500,-0.039665256
11/07/16,82000,-0.053425167
12/07/16,83000,0.012121361
13/07/16,84500,0.017910927
14/07/16,81000,-0.04230238
15/07/16,81000,0
18/07/16,82000,0.012270093
19/07/16,83000,0.012121361
20/07/16,83000,0
21/07/16,84000,0.011976191
22/07/16,87000,0.03509132
25/07/16,88500,0.017094433
26/07/16,89500,0.011236073
27/07/16,95500,0.064887622
28/07/16,97000,0.015584731
29/07/16,1.00E+05,0.030459207
01/08/16,97000,-0.030459207
02/08/16,95000,-0.020834087
03/08/16,94500,-0.005277057
04/08/16,94500,0
05/08/16,95000,0.005277057
08/08/16,97000,0.020834087
09/08/16,102000,0.050261835
10/08/16,102000,0
11/08/16,1.00E+05,-0.019802627
12/08/16,1.00E+05,0
15/08/16,105000,0.048790164
16/08/16,106000,0.009478744
17/08/16,108000,0.018692133
18/08/16,105000,-0.028170877
19/08/16,102000,-0.028987537
22/08/16,1.00E+05,-0.019802627
23/08/16,101000,0.009950331
24/08/16,102000,0.009852296
25/08/16,101000,-0.009852296
26/08/16,99500,-0.014962873
29/08/16,95000,-0.046280753
30/08/16,95000,0
31/08/16,95000,0
01/09/16,97000,0.020834087
05/09/16,1.00E+05,0.030459207
06/09/16,1.00E+05,0
07/09/16,99500,-0.005012542
08/09/16,97000,-0.025446666
09/09/16,97000,0
12/09/16,97500,0.0051414
13/09/16,97900,0.004094172
14/09/16,98000,0.001020929
15/09/16,98000,0
16/09/16,97500,-0.005115101
19/09/16,97000,-0.0051414
20/09/16,98000,0.0102565
21/09/16,102000,0.040005335
22/09/16,103500,0.014598799
23/09/16,102500,-0.009708814
26/09/16,101100,-0.013752673
27/09/16,106000,0.047328968
28/09/16,105800,-0.001888575
29/09/16,104400,-0.013320844
30/09/16,106800,0.022728251
03/10/16,109000,0.020389956
04/10/16,106200,-0.026023773
05/10/16,105000,-0.011363759
06/10/16,106500,0.014184635
07/10/16,106000,-0.004705891
10/10/16,105400,-0.005676458
11/10/16,103900,-0.014333738
12/10/16,103000,-0.00869991
13/10/16,106400,0.032476589
14/10/16,106400,0
17/10/16,105500,-0.008494624
18/10/16,106000,0.004728141
19/10/16,106400,0.003766483
20/10/16,108400,0.018622512
21/10/16,108000,-0.003696862
24/10/16,103400,-0.043526265
25/10/16,104700,0.012494156
26/10/16,103800,-0.008633147
27/10/16,105500,0.016244982
28/10/16,112800,0.066905386
31/10/16,114600,0.015831465
01/11/16,114700,0.00087222
02/11/16,112000,-0.023821153
03/11/16,111000,-0.00896867
04/11/16,110000,-0.009049836
07/11/16,110500,0.004535155
08/11/16,114000,0.031182927
09/11/16,113500,-0.004395611
10/11/16,113100,-0.003530454
11/11/16,111800,-0.011560822
14/11/16,108500,-0.029961388
15/11/16,108500,0
16/11/16,108500,0
17/11/16,107900,-0.005545301
18/11/16,106000,-0.017765778
21/11/16,106000,0
22/11/16,105000,-0.009478744
23/11/16,105500,0.004750603
24/11/16,105700,0.00189394
25/11/16,106000,0.002834201
28/11/16,104000,-0.019048195
29/11/16,103000,-0.009661911
30/11/16,103900,0.00869991
01/12/16,104000,0.000962001
02/12/16,104000,0
05/12/16,103900,-0.000962001
06/12/16,1.00E+05,-0.038258712
07/12/16,96900,-0.031490667
08/12/16,98700,0.018405428
09/12/16,98500,-0.002028398
12/12/16,97500,-0.01020417
13/12/16,94500,-0.031252544
14/12/16,96900,0.025079684
15/12/16,96000,-0.009331327
16/12/16,99800,0.038819992
19/12/16,99600,-0.002006019
20/12/16,98000,-0.016194686
21/12/16,98000,0
22/12/16,99000,0.010152371
23/12/16,95000,-0.041242959
26/12/16,97000,0.020834087
27/12/16,97000,0
28/12/16,96000,-0.010362787
29/12/16,96000,0
30/12/16,95900,-0.00104221
03/01/17,97000,0.011404997
04/01/17,95500,-0.015584731
05/01/17,98500,0.030930301
06/01/17,98800,0.003041057
