"Date","Price","Return"
2016-01-04,53000,0
2016-01-05,53500,0.00938974
2016-01-06,53500,0
2016-01-07,53000,-0.00938974
2016-01-08,52500,-0.009478744
2016-01-11,53000,0.009478744
2016-01-12,53000,0
2016-01-13,53000,0
2016-01-14,53000,0
2016-01-15,53000,0
2016-01-18,53000,0
2016-01-19,54000,0.018692133
2016-01-21,54000,0
2016-01-22,52500,-0.028170877
2016-01-25,53500,0.018868484
2016-01-26,53500,0
2016-01-27,54500,0.018519048
2016-01-28,55000,0.009132484
2016-01-29,58000,0.053109825
2016-02-01,57000,-0.017391743
2016-02-02,57000,0
2016-02-03,56500,-0.00881063
2016-02-04,59000,0.043296806
2016-02-05,59000,0
2016-02-15,60000,0.016807118
2016-02-16,61000,0.016529302
2016-02-17,64000,0.048009219
2016-02-18,65500,0.023167059
2016-02-19,69000,0.052056362
2016-02-22,69000,0
2016-02-23,68000,-0.014598799
2016-02-24,70000,0.028987537
2016-02-25,67500,-0.036367644
2016-02-26,68500,0.014706147
2016-02-29,67000,-0.022141126
2016-03-01,67500,0.007434978
2016-03-02,71500,0.057569852
2016-03-03,69500,-0.028370697
2016-03-04,68500,-0.014493007
2016-03-07,69000,0.007272759
2016-03-08,69500,0.007220248
2016-03-09,70000,0.007168489
2016-03-10,70000,0
2016-03-11,70000,0
2016-03-14,72500,0.03509132
2016-03-15,72000,-0.006920443
2016-03-16,72000,0
2016-03-17,74000,0.027398974
2016-03-18,75000,0.01342302
2016-03-21,75000,0
2016-03-22,75000,0
2016-03-23,76000,0.013245227
2016-03-24,76500,0.006557401
2016-03-25,76000,-0.006557401
2016-03-28,77000,0.013072082
2016-03-29,76500,-0.006514681
2016-03-30,76500,0
2016-03-31,74500,-0.026491615
2016-04-01,75500,0.013333531
2016-04-04,74500,-0.013333531
2016-04-05,73500,-0.013513719
2016-04-06,75000,0.020202707
2016-04-07,77000,0.026317308
2016-04-08,80000,0.038221213
2016-04-11,80500,0.00623055
2016-04-12,80500,0
2016-04-13,79500,-0.012500163
2016-04-14,78500,-0.012658397
2016-04-15,79000,0.006349228
2016-04-19,79000,0
2016-04-20,80000,0.012578782
2016-04-21,79500,-0.006269613
2016-04-22,78500,-0.012658397
2016-04-25,78000,-0.006389798
2016-04-26,75500,-0.03257617
2016-04-27,75500,0
2016-04-28,73000,-0.033673215
2016-04-29,74000,0.013605652
2016-05-04,75000,0.01342302
2016-05-05,73500,-0.020202707
2016-05-06,73500,0
2016-05-09,74500,0.013513719
2016-05-10,73500,-0.013513719
2016-05-12,72000,-0.020619287
2016-05-13,71000,-0.013986242
2016-05-16,68000,-0.043172172
2016-05-17,70000,0.028987537
2016-05-18,69000,-0.014388737
2016-05-19,69000,0
2016-05-20,71000,0.028573372
2016-05-23,71000,0
2016-05-24,71000,0
2016-05-25,70500,-0.007067167
2016-05-26,70000,-0.007117468
2016-05-27,71000,0.014184635
2016-05-30,70500,-0.007067167
2016-05-31,70500,0
2016-06-01,70500,0
2016-06-02,72500,0.027973852
2016-06-03,71000,-0.020906685
2016-06-06,71000,0
2016-06-07,74000,0.041385216
2016-06-08,74500,0.006734032
2016-06-09,74000,-0.006734032
2016-06-10,73000,-0.013605652
2016-06-13,74000,0.013605652
2016-06-14,73000,-0.013605652
2016-06-15,73000,0
2016-06-16,74500,0.020339684
2016-06-17,78500,0.052299499
2016-06-20,78500,0
2016-06-21,79000,0.006349228
2016-06-22,79500,0.006309169
2016-06-23,80500,0.012500163
2016-06-24,80000,-0.00623055
2016-06-27,79500,-0.006269613
2016-06-28,79500,0
2016-06-29,85000,0.066894235
2016-06-30,86500,0.017493157
2016-07-01,89000,0.028491956
2016-07-04,91500,0.027702603
2016-07-05,87500,-0.044700179
2016-07-06,90500,0.033711057
2016-07-07,90000,-0.00554018
2016-07-08,86500,-0.039665256
2016-07-11,82000,-0.053425167
2016-07-12,83000,0.012121361
2016-07-13,84500,0.017910927
2016-07-14,81000,-0.04230238
2016-07-15,81000,0
2016-07-18,82000,0.012270093
2016-07-19,83000,0.012121361
2016-07-20,83000,0
2016-07-21,84000,0.011976191
2016-07-22,87000,0.03509132
2016-07-25,88500,0.017094433
2016-07-26,89500,0.011236073
2016-07-27,95500,0.064887622
2016-07-28,97000,0.015584731
2016-07-29,1e+05,0.030459207
2016-08-01,97000,-0.030459207
2016-08-02,95000,-0.020834087
2016-08-03,94500,-0.005277057
2016-08-04,94500,0
2016-08-05,95000,0.005277057
2016-08-08,97000,0.020834087
2016-08-09,102000,0.050261835
2016-08-10,102000,0
2016-08-11,1e+05,-0.019802627
2016-08-12,1e+05,0
2016-08-15,105000,0.048790164
2016-08-16,106000,0.009478744
2016-08-17,108000,0.018692133
2016-08-18,105000,-0.028170877
2016-08-19,102000,-0.028987537
2016-08-22,1e+05,-0.019802627
2016-08-23,101000,0.009950331
2016-08-24,102000,0.009852296
2016-08-25,101000,-0.009852296
2016-08-26,99500,-0.014962873
2016-08-29,95000,-0.046280753
2016-08-30,95000,0
2016-08-31,95000,0
2016-09-01,97000,0.020834087
2016-09-05,1e+05,0.030459207
2016-09-06,1e+05,0
2016-09-07,99500,-0.005012542
2016-09-08,97000,-0.025446666
2016-09-09,97000,0
2016-09-12,97500,0.0051414
2016-09-13,97900,0.004094172
2016-09-14,98000,0.001020929
2016-09-15,98000,0
2016-09-16,97500,-0.005115101
2016-09-19,97000,-0.0051414
2016-09-20,98000,0.0102565
2016-09-21,102000,0.040005335
2016-09-22,103500,0.014598799
2016-09-23,102500,-0.009708814
2016-09-26,101100,-0.013752673
2016-09-27,106000,0.047328968
2016-09-28,105800,-0.001888575
2016-09-29,104400,-0.013320844
2016-09-30,106800,0.022728251
2016-10-03,109000,0.020389956
2016-10-04,106200,-0.026023773
2016-10-05,105000,-0.011363759
2016-10-06,106500,0.014184635
2016-10-07,106000,-0.004705891
2016-10-10,105400,-0.005676458
2016-10-11,103900,-0.014333738
2016-10-12,103000,-0.00869991
2016-10-13,106400,0.032476589
2016-10-14,106400,0
2016-10-17,105500,-0.008494624
2016-10-18,106000,0.004728141
2016-10-19,106400,0.003766483
2016-10-20,108400,0.018622512
2016-10-21,108000,-0.003696862
2016-10-24,103400,-0.043526265
2016-10-25,104700,0.012494156
2016-10-26,103800,-0.008633147
2016-10-27,105500,0.016244982
2016-10-28,112800,0.066905386
2016-10-31,114600,0.015831465
2016-11-01,114700,0.00087222
2016-11-02,112000,-0.023821153
2016-11-03,111000,-0.00896867
2016-11-04,110000,-0.009049836
2016-11-07,110500,0.004535155
2016-11-08,114000,0.031182927
2016-11-09,113500,-0.004395611
2016-11-10,113100,-0.003530454
2016-11-11,111800,-0.011560822
2016-11-14,108500,-0.029961388
2016-11-15,108500,0
2016-11-16,108500,0
2016-11-17,107900,-0.005545301
2016-11-18,106000,-0.017765778
2016-11-21,106000,0
2016-11-22,105000,-0.009478744
2016-11-23,105500,0.004750603
2016-11-24,105700,0.00189394
2016-11-25,106000,0.002834201
2016-11-28,104000,-0.019048195
2016-11-29,103000,-0.009661911
2016-11-30,103900,0.00869991
2016-12-01,104000,0.000962001
2016-12-02,104000,0
2016-12-05,103900,-0.000962001
2016-12-06,1e+05,-0.038258712
2016-12-07,96900,-0.031490667
2016-12-08,98700,0.018405428
2016-12-09,98500,-0.002028398
2016-12-12,97500,-0.01020417
2016-12-13,94500,-0.031252544
2016-12-14,96900,0.025079684
2016-12-15,96000,-0.009331327
2016-12-16,99800,0.038819992
2016-12-19,99600,-0.002006019
2016-12-20,98000,-0.016194686
2016-12-21,98000,0
2016-12-22,99000,0.010152371
2016-12-23,95000,-0.041242959
2016-12-26,97000,0.020834087
2016-12-27,97000,0
2016-12-28,96000,-0.010362787
2016-12-29,96000,0
2016-12-30,95900,-0.00104221
2017-01-03,97000,0.011404997
2017-01-04,95500,-0.015584731
2017-01-05,98500,0.030930301
2017-01-06,98800,0.003041057
2017-01-09,95500,-0.033971357
2017-01-10,96300,0.008342071
2017-01-11,97500,0.012384059
2017-01-12,97400,-0.001026167
2017-01-13,97400,0
2017-01-16,96900,-0.005146692
2017-01-17,94700,-0.022965519
2017-01-18,94700,0
2017-01-19,94900,0.002109705
2017-01-20,94500,-0.004223871
2017-01-23,94300,-0.002118645
2017-01-24,93200,-0.011733468
2017-01-25,96000,0.02960047
